CustomerID,Age,Annual_Income,Spending_Score,Cluster
C0001,51,69.9,29,0
C0002,26,57.2,36,0
C0003,53,73.0,69,4
C0004,60,90.5,65,3
C0005,46,55.3,49,4
C0006,68,55.3,53,4
C0007,28,91.6,82,3
C0008,21,75.3,35,0
C0009,18,50.6,64,2
C0010,62,70.9,45,4
C0011,49,50.7,45,1
C0012,39,50.7,77,2
C0013,44,64.8,71,4
C0014,23,21.7,70,2
C0015,70,25.5,83,2
C0016,41,48.8,51,1
C0017,41,39.7,67,2
C0018,50,66.3,42,4
C0019,47,41.8,58,1
C0020,43,31.8,47,1
C0021,28,89.3,52,3
C0022,47,55.5,65,4
C0023,68,61.4,30,0
C0024,60,31.5,100,2
C0025,63,49.1,25,1
C0026,32,62.2,20,0
C0027,25,37.0,79,2
C0028,38,67.5,70,4
C0029,40,48.0,66,2
C0030,56,54.2,66,2
C0031,18,48.0,50,1
C0032,62,97.0,28,3
C0033,37,59.7,52,4
C0034,33,38.8,33,1
C0035,24,76.5,74,4
C0036,18,35.6,46,1
C0037,52,64.2,29,0
C0038,41,20.8,42,1
C0039,20,33.4,60,1
C0040,20,63.9,36,0
C0041,34,74.8,29,0
C0042,65,63.4,56,4
C0043,36,57.7,56,4
C0044,18,54.0,37,1
C0045,36,30.4,38,1
C0046,35,45.6,56,1
C0047,18,50.8,14,0
C0048,39,81.1,15,0
C0049,36,66.9,32,0
C0050,50,24.7,45,1
C0051,67,66.5,58,4
C0052,56,52.3,87,2
C0053,35,46.5,71,2
C0054,23,72.2,46,4
C0055,70,80.6,50,4
C0056,40,78.6,25,0
C0057,40,43.2,50,1
C0058,39,53.8,43,1
C0059,42,66.6,58,4
C0060,37,79.5,29,0
C0061,31,50.4,63,2
C0062,31,56.3,88,2
C0063,39,37.9,47,1
C0064,31,36.1,60,1
C0065,29,76.3,67,4
C0066,41,87.1,40,3
C0067,36,58.6,56,4
C0068,62,80.1,50,4
C0069,18,67.2,52,4
C0070,56,47.1,31,1
C0071,58,67.2,51,4
C0072,18,90.8,62,3
C0073,34,59.3,86,2
C0074,34,91.3,74,3
C0075,18,15.0,100,2
C0076,28,76.4,31,0
C0077,23,61.7,72,4
C0078,66,54.0,55,4
C0079,54,61.8,100,2
C0080,59,20.2,30,1
C0081,50,55.6,29,0
C0082,23,67.1,35,0
C0083,32,89.6,1,0
C0084,47,49.6,37,1
C0085,21,43.8,31,1
C0086,50,50.0,54,1
C0087,36,78.3,59,4
C0088,34,66.6,97,2
C0089,50,49.4,74,2
C0090,46,70.3,36,0
C0091,34,61.9,28,0
C0092,57,79.4,62,4
C0093,23,46.0,17,1
