student_id,name,age,gender,city,math_score,science_score,english_score,study_hours,attendance,total_score,average_score,performance_category
S0001,Student_1,24,F,Phoenix,46.0,64,93,7,62.0,203.0,67.66666666666667,Average
S0002,Student_2,21,F,Chicago,99.0,80,74,8,75.0,253.0,84.33333333333333,Good
S0003,Student_3,22,M,Phoenix,55.0,40,90,7,82.0,185.0,61.666666666666664,Average
S0004,Student_4,24,F,Houston,65.0,71,96,5,70.0,232.0,77.33333333333333,Good
S0005,Student_5,20,M,Phoenix,87.0,58,49,1,71.0,194.0,64.66666666666667,Average
S0006,Student_6,22,F,Chicago,96.0,80,56,7,69.0,232.0,77.33333333333333,Good
S0007,Student_7,22,F,Chicago,91.0,87,60,7,91.0,238.0,79.33333333333333,Good
S0008,Student_8,24,M,Houston,99.0,94,70,9,75.0,263.0,87.66666666666667,Excellent
S0009,Student_9,19,F,LA,88.0,97,70,3,67.0,255.0,85.0,Good
S0010,Student_10,20,M,LA,41.0,66,92,9,97.0,199.0,66.33333333333333,Average
S0011,Student_11,24,F,Phoenix,40.0,67,65,1,71.0,172.0,57.333333333333336,Average
S0012,Student_12,20,M,NYC,87.0,52,83,1,83.0,222.0,74.0,Good
S0013,Student_13,20,M,Phoenix,72.0,59,80,4,87.0,211.0,70.33333333333333,Good
S0014,Student_14,22,F,Houston,44.0,88,77,9,67.0,209.0,69.66666666666667,Average
S0015,Student_15,21,F,Houston,76.0,92,74,6,87.0,242.0,80.66666666666667,Good
S0016,Student_16,20,M,Houston,71.0,80,81,3,95.0,232.0,77.33333333333333,Good
S0017,Student_17,23,F,Houston,98.0,58,67,1,85.0,223.0,74.33333333333333,Good
S0018,Student_18,22,F,Houston,94.0,66,54,4,67.0,214.0,71.33333333333333,Good
S0019,Student_19,19,F,Chicago,48.0,81,98,9,87.0,227.0,75.66666666666667,Good
S0020,Student_20,21,M,LA,80.0,57,49,3,87.0,186.0,62.0,Average
S0021,Student_21,23,M,Houston,74.0,61,80,9,96.0,215.0,71.66666666666667,Good
S0022,Student_22,23,M,NYC,58.0,36,78,7,95.0,172.0,57.333333333333336,Average
S0023,Student_23,19,M,NYC,87.0,51,96,4,86.0,234.0,78.0,Good
S0024,Student_24,21,M,NYC,55.0,67,75,3,76.0,197.0,65.66666666666667,Average
S0025,Student_25,22,M,NYC,42.0,43,54,5,68.0,139.0,46.333333333333336,Poor
S0026,Student_26,18,M,Chicago,59.0,77,63,5,92.0,199.0,66.33333333333333,Average
S0027,Student_27,21,M,NYC,63.0,82,76,3,79.0,221.0,73.66666666666667,Good
S0028,Student_28,19,M,Houston,93.0,73,45,9,72.0,211.0,70.33333333333333,Good
S0029,Student_29,23,F,Phoenix,95.0,76,49,4,87.0,220.0,73.33333333333333,Good
S0030,Student_30,22,M,NYC,72.0,60,89,5,88.0,221.0,73.66666666666667,Good
S0031,Student_31,21,F,Chicago,63.0,84,48,4,72.0,195.0,65.0,Average
S0032,Student_32,18,F,Chicago,91.0,59,60,5,94.0,210.0,70.0,Average
S0033,Student_33,18,F,NYC,72.0,58,68,7,65.0,198.0,66.0,Average
S0034,Student_34,20,M,Phoenix,88.0,47,60,9,77.0,195.0,65.0,Average
S0035,Student_35,20,M,NYC,47.0,94,99,7,64.0,240.0,80.0,Good
S0036,Student_36,24,M,Chicago,75.0,41,46,5,84.0,162.0,54.0,Average
S0037,Student_37,19,M,LA,77.0,91,93,7,61.0,261.0,87.0,Excellent
S0038,Student_38,21,F,Houston,79.0,70,72,5,69.0,221.0,73.66666666666667,Good
S0039,Student_39,21,M,Chicago,59.0,79,76,3,89.0,214.0,71.33333333333333,Good
S0040,Student_40,24,M,NYC,74.0,54,71,7,64.0,199.0,66.33333333333333,Average
S0041,Student_41,23,M,Houston,87.0,99,64,2,92.0,250.0,83.33333333333333,Good
S0042,Student_42,23,M,NYC,64.0,42,68,9,60.0,174.0,58.0,Average
S0043,Student_43,24,M,NYC,74.0,50,56,1,77.0,180.0,60.0,Average
S0044,Student_44,23,F,LA,64.0,48,94,6,91.0,206.0,68.66666666666667,Average
S0045,Student_45,20,M,Houston,68.0,49,79,7,70.0,196.0,65.33333333333333,Average
S0046,Student_46,21,F,Houston,57.0,66,77,8,80.0,200.0,66.66666666666667,Average
S0047,Student_47,24,M,LA,85.0,97,77,9,85.0,259.0,86.33333333333333,Excellent
S0048,Student_48,21,F,Chicago,57.0,85,95,2,84.0,237.0,79.0,Good
S0049,Student_49,18,M,NYC,41.0,59,87,2,81.0,187.0,62.333333333333336,Average
S0050,Student_50,20,M,Phoenix,93.0,92,81,5,86.0,266.0,88.66666666666667,Excellent
S0051,Student_51,22,F,NYC,74.0,97,56,5,72.0,227.0,75.66666666666667,Good
S0052,Student_52,20,F,NYC,55.0,96,47,6,92.0,198.0,66.0,Average
S0053,Student_53,24,F,Chicago,80.0,56,45,3,93.0,181.0,60.333333333333336,Average
S0054,Student_54,22,M,NYC,75.0,92,77,8,94.0,244.0,81.33333333333333,Good
S0055,Student_55,18,F,LA,72.0,92,84,1,60.0,248.0,82.66666666666667,Good
S0056,Student_56,24,M,LA,43.0,83,54,6,80.0,180.0,60.0,Average
S0057,Student_57,19,M,Houston,72.0,86,87,4,65.0,245.0,81.66666666666667,Good
S0058,Student_58,21,F,Phoenix,53.0,76,88,1,87.0,217.0,72.33333333333333,Good
S0059,Student_59,18,F,NYC,60.0,49,73,7,76.0,182.0,60.666666666666664,Average
S0060,Student_60,21,M,NYC,87.0,88,57,9,64.0,232.0,77.33333333333333,Good
S0061,Student_61,23,M,Chicago,59.0,94,56,4,90.0,209.0,69.66666666666667,Average
S0062,Student_62,19,F,LA,95.0,42,75,4,64.0,212.0,70.66666666666667,Good
S0063,Student_63,19,F,Phoenix,47.0,87,90,6,97.0,224.0,74.66666666666667,Good
S0064,Student_64,18,F,Houston,46.0,94,46,3,62.0,186.0,62.0,Average
S0065,Student_65,19,M,LA,42.0,39,95,6,82.0,176.0,58.666666666666664,Average
S0066,Student_66,22,M,Houston,56.0,40,94,7,96.0,190.0,63.333333333333336,Average
S0067,Student_67,19,M,Chicago,72.0,81,79,3,96.0,232.0,77.33333333333333,Good
S0068,Student_68,21,M,Chicago,87.0,89,67,7,80.0,243.0,81.0,Good
S0069,Student_69,21,M,NYC,51.0,74,61,3,69.0,186.0,62.0,Average
S0070,Student_70,24,M,Phoenix,98.0,86,70,2,78.0,254.0,84.66666666666667,Good
S0071,Student_71,21,F,Houston,90.0,50,52,4,76.0,192.0,64.0,Average
S0072,Student_72,24,M,LA,61.0,47,73,8,80.0,181.0,60.333333333333336,Average
S0073,Student_73,21,M,Chicago,94.0,64,70,9,73.0,228.0,76.0,Good
S0074,Student_74,22,M,NYC,61.0,53,54,7,68.0,168.0,56.0,Average
S0075,Student_75,24,F,NYC,85.0,51,70,1,60.0,206.0,68.66666666666667,Average
S0076,Student_76,20,M,Houston,69.0,97,78,3,72.0,244.0,81.33333333333333,Good
S0077,Student_77,23,M,Chicago,77.0,53,95,9,63.0,225.0,75.0,Good
S0078,Student_78,18,F,Phoenix,77.0,92,85,1,60.0,254.0,84.66666666666667,Good
S0079,Student_79,21,M,Chicago,84.0,89,51,9,99.0,224.0,74.66666666666667,Good
S0080,Student_80,19,M,Houston,90.0,96,48,8,91.0,234.0,78.0,Good
S0081,Student_81,21,M,Houston,93.0,57,97,1,93.0,247.0,82.33333333333333,Good
S0082,Student_82,19,M,Chicago,47.0,43,94,6,87.0,184.0,61.333333333333336,Average
S0083,Student_83,23,M,Houston,66.0,46,89,5,90.0,201.0,67.0,Average
S0084,Student_84,23,F,Chicago,66.0,35,55,6,67.0,156.0,52.0,Average
S0085,Student_85,23,F,LA,73.0,92,73,5,98.0,238.0,79.33333333333333,Good
S0086,Student_86,19,F,Chicago,60.0,35,80,6,85.0,175.0,58.333333333333336,Average
S0087,Student_87,21,M,Chicago,69.0,68,69,5,93.0,206.0,68.66666666666667,Average
S0088,Student_88,23,M,Houston,72.0,82,65,5,80.0,219.0,73.0,Good
S0089,Student_89,22,M,Houston,67.0,35,80,4,71.0,182.0,60.666666666666664,Average
S0090,Student_90,24,F,NYC,86.0,50,54,3,60.0,190.0,63.333333333333336,Average
S0091,Student_91,19,M,NYC,72.0,95,81,3,64.0,248.0,82.66666666666667,Good
S0092,Student_92,19,M,LA,44.0,98,53,4,89.0,195.0,65.0,Average
S0093,Student_93,21,F,NYC,99.0,97,68,9,89.0,264.0,88.0,Excellent
S0094,Student_94,19,M,Chicago,87.0,56,79,2,76.0,222.0,74.0,Good
S0095,Student_95,19,F,Houston,58.0,60,93,9,82.0,211.0,70.33333333333333,Good
S0096,Student_96,23,F,NYC,43.0,50,79,1,74.0,172.0,57.333333333333336,Average
S0097,Student_97,21,F,NYC,74.0,85,92,1,96.0,251.0,83.66666666666667,Good
S0098,Student_98,23,M,LA,88.0,91,80,5,80.0,259.0,86.33333333333333,Excellent
S0099,Student_99,24,M,LA,56.0,63,62,6,73.0,181.0,60.333333333333336,Average
S0100,Student_100,24,M,Chicago,83.0,81,93,6,61.0,257.0,85.66666666666667,Excellent
